-8235326.24,4971633.759
-8235326.02,4971633.64
-8235325.8,4971633.522
-8235325.58,4971633.403
-8235325.36,4971633.285
-8235325.14,4971633.167
-8235324.92,4971633.048
-8235324.7,4971632.93
-8235324.48,4971632.812
-8235324.26,4971632.693
-8235324.04,4971632.575
-8235323.82,4971632.457
-8235323.6,4971632.338
-8235323.38,4971632.22
-8235323.16,4971632.101
-8235322.94,4971631.983
-8235322.72,4971631.865
-8235322.5,4971631.746
-8235322.28,4971631.628
-8235322.06,4971631.509
-8235321.84,4971631.391
-8235321.62,4971631.273
-8235321.399,4971631.154
-8235321.18,4971631.036
-8235320.959,4971630.918
-8235320.739,4971630.799
-8235320.519,4971630.681
-8235320.299,4971630.562
-8235320.079,4971630.444
-8235319.859,4971630.326
-8235319.639,4971630.207
-8235319.419,4971630.089
-8235319.199,4971629.97
-8235318.979,4971629.852
-8235318.759,4971629.734
-8235318.539,4971629.615
-8235318.319,4971629.497
-8235318.099,4971629.379
-8235317.879,4971629.26
-8235317.659,4971629.142
-8235317.439,4971629.024
-8235317.219,4971628.905
-8235316.999,4971628.787
-8235316.779,4971628.668
-8235316.559,4971628.55
-8235316.339,4971628.432
-8235316.119,4971628.313
-8235315.899,4971628.195
-8235315.679,4971628.076
-8235315.459,4971627.958
-8235315.239,4971627.84
-8235315.019,4971627.721
-8235314.799,4971627.603
-8235314.579,4971627.485
-8235314.359,4971627.366
-8235314.139,4971627.248
-8235313.919,4971627.13
-8235313.699,4971627.011
-8235313.478,4971626.893
-8235313.259,4971626.774
-8235313.038,4971626.656
-8235312.818,4971626.538
-8235312.598,4971626.419
-8235312.378,4971626.301
-8235312.158,4971626.182
-8235311.938,4971626.064
-8235311.718,4971625.946
-8235311.498,4971625.827
-8235311.278,4971625.709
-8235311.058,4971625.591
-8235310.838,4971625.472
-8235310.618,4971625.354
-8235310.398,4971625.236
-8235310.178,4971625.117
-8235309.958,4971624.999
-8235309.738,4971624.88
-8235309.518,4971624.762
-8235309.298,4971624.644
